TIME,FSP_X
0.874,0.0755272
0.875,0.0755446
0.876,0.0753936
0.877,0.0751998
0.878,0.0751295
0.879,0.0748814
0.88,0.0746756
0.881,0.0745461
0.882,0.0744191
0.883,0.074309
0.884,0.0742134
0.885,0.0741312
0.886,0.0740409
0.887,0.0739919
0.888,0.0738701
0.889,0.0741637
0.89,0.0743392
0.891,0.0741448
0.892,0.0740888
0.893,0.0739039
0.894,0.0738237
0.895,0.0738719
0.896,0.0742416
0.897,0.0746065
0.898,0.0744942
0.899,0.0744085
0.9,0.074414
0.901,0.0744361
0.902,0.0744324
0.903,0.0743662
0.904,0.0743657
0.905,0.0743799
0.906,0.0744049
0.907,0.0744869
0.908,0.0745288
0.909,0.0744865
0.91,0.0744348
0.911,0.0742922
0.912,0.0741601
0.913,0.07411
0.914,0.0740511
0.915,0.0740762
0.916,0.0738485
0.917,0.0734468
0.918,0.073313
0.919,0.0733474
0.92,0.0733304
0.921,0.0733191
0.922,0.073621
0.923,0.0738881
0.924,0.0736577
0.925,0.0734032
0.926,0.0733066
0.927,0.0730563
0.928,0.0728812
0.929,0.0728484
0.93,0.0728475
0.931,0.072682
0.932,0.0725091
0.933,0.0723847
0.934,0.0722258
0.935,0.0721455
0.936,0.0721077
0.937,0.0720922
0.938,0.0719898
0.939,0.0719561
0.94,0.072023
0.941,0.0719079
0.942,0.0717287
0.943,0.0717457
0.944,0.0717527
0.945,0.0717525
0.946,0.07178
0.947,0.0718132
0.948,0.0718396
0.949,0.0718375
0.95,0.0718529
0.951,0.0718624
0.952,0.0719084
0.953,0.0718573
0.954,0.0718248
0.955,0.0717786
0.956,0.0717253
0.957,0.0716535
0.958,0.0715597
0.959,0.0714639
0.96,0.0713945
0.961,0.071371
0.962,0.0713195
0.963,0.0712769
0.964,0.071286
0.965,0.0713025
0.966,0.0712803
0.967,0.071206
0.968,0.0711759
0.969,0.071161
0.97,0.0711339
0.971,0.0712619
0.972,0.0711736
0.973,0.0711749
0.974,0.0711505
0.975,0.071134
0.976,0.0711419
0.977,0.0711666
0.978,0.0711029
0.979,0.0710891
0.98,0.0710892
0.981,0.0710745
0.982,0.0710474
0.983,0.0710179
0.984,0.0709359
0.985,0.0708852
0.986,0.0709258
0.987,0.0709235
0.988,0.0708508
0.989,0.0707754
0.99,0.0707592
0.991,0.0707469
0.992,0.0707072
0.993,0.0706776
0.994,0.0706767
0.995,0.0706908
0.996,0.0706796
0.997,0.0706683
0.998,0.0706199
0.999,0.0705645
1,0.0705768
1.001,0.0705807
1.002,0.0705736
1.003,0.070581
1.004,0.0705636
1.005,0.0705339
1.006,0.070548
1.007,0.0705968
1.008,0.0706055
1.009,0.0705689
1.01,0.0705706
1.011,0.0706022
1.012,0.0705883
1.013,0.0705325
1.014,0.0705333
1.015,0.0705577
1.016,0.0704808
1.017,0.070431
1.018,0.070485
1.019,0.070494
1.02,0.0704927
1.021,0.0705473
1.022,0.0705898
1.023,0.0705878
1.024,0.0705921
1.025,0.0706214
1.026,0.0706198
1.027,0.0706193
1.028,0.0706406
1.029,0.070655
1.03,0.0706647
1.031,0.0706335
1.032,0.0705801
1.033,0.0705679
1.034,0.070566
1.035,0.070574
1.036,0.0706081
1.037,0.0705847
1.038,0.0705235
1.039,0.0704691
1.04,0.0704399
1.041,0.0704202
1.042,0.0705142
1.043,0.0706612
1.044,0.0706971
1.045,0.0706419
1.046,0.0705701
1.047,0.0705395
1.048,0.0705206
1.049,0.0705024
1.05,0.0704854
1.051,0.0704858
1.052,0.0704251
1.053,0.0703459
1.054,0.0702353
1.055,0.0701426
